Variable:,tas
,"Wallis and Futuna","Administrative unit not available"
2015,27.44,27.15
2016,27.54,27.27
2017,27.57,27.29
2018,27.62,27.37
2019,27.68,27.42
2020,27.66,27.32
2021,27.65,27.35
2022,27.71,27.45
2023,27.82,27.56
2024,27.82,27.51
2025,27.80,27.56
2026,27.75,27.53
2027,27.78,27.51
2028,27.88,27.60
2029,27.90,27.66
2030,27.79,27.45
2031,27.85,27.60
2032,27.91,27.66
2033,28.01,27.72
2034,27.95,27.65
2035,28.03,27.76
2036,27.98,27.70
2037,28.10,27.77
2038,27.97,27.71
2039,28.15,27.91
2040,28.14,27.81
2041,28.13,27.90
2042,28.05,27.76
2043,28.18,27.83
2044,28.19,27.87
2045,28.08,27.77
2046,28.16,27.96
2047,28.30,28.03
2048,28.21,27.93
2049,28.35,28.05
2050,28.26,27.88
2051,28.19,27.83
2052,28.25,27.90
2053,28.20,27.86
2054,28.25,27.94
2055,28.12,27.79
2056,28.37,28.03
2057,28.29,27.96
2058,28.29,27.89
2059,28.39,28.09
2060,28.28,28.05
2061,28.18,27.88
2062,28.32,28.00
2063,28.33,28.04
2064,28.42,28.12
2065,28.30,28.03
2066,28.19,27.92
2067,28.44,28.12
2068,28.28,28.02
2069,28.34,28.05
2070,28.41,28.22
2071,28.36,28.07
2072,28.27,28.03
2073,28.25,27.90
2074,28.35,28.09
2075,28.22,27.88
2076,28.40,28.12
2077,28.36,27.99
2078,28.33,27.89
2079,28.43,28.11
2080,28.36,28.02
2081,28.38,28.11
2082,28.42,28.04
2083,28.21,27.87
2084,28.32,27.96
2085,28.34,28.02
2086,28.24,27.87
2087,28.22,28.00
2088,28.47,28.19
2089,28.33,28.01
2090,28.37,28.16
2091,28.38,28.04
2092,28.34,28.04
2093,28.50,28.19
2094,28.38,28.08
2095,28.43,28.09
2096,28.41,28.07
2097,28.39,28.10
2098,28.47,28.19
2099,28.46,28.15
2100,28.39,28.05
