Variable:,tas
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
1995,22.32,10.96,25.11,17.68,25.25,14.29,23.58,19.73,11.25,14.38,22.69
1996,22.29,10.99,24.97,17.85,25.03,14.35,23.51,19.74,11.26,14.39,22.71
1997,22.63,11.33,24.99,18.24,25.47,14.63,23.98,20.08,11.14,14.55,22.88
1998,22.62,11.37,25.00,18.22,25.38,14.69,24.01,19.97,11.21,14.61,22.94
1999,22.55,11.25,25.09,17.93,25.44,14.62,23.94,19.84,11.46,14.61,22.86
2000,22.63,11.30,24.95,18.09,25.40,14.64,23.93,20.13,11.37,14.64,23.00
2001,22.69,11.23,25.07,17.97,25.69,14.59,24.07,19.85,11.26,14.52,23.05
2002,22.65,11.32,25.28,18.05,25.56,14.65,23.94,20.00,11.30,14.60,23.01
2003,22.92,11.40,25.09,18.36,25.97,14.74,24.46,20.18,11.36,14.73,23.07
2004,22.94,11.78,25.11,18.45,26.06,15.04,24.33,20.18,11.45,14.80,23.13
2005,22.71,11.57,25.24,18.14,25.65,14.85,24.14,19.93,11.46,14.83,22.99
2006,22.61,11.28,25.23,18.00,25.49,14.62,24.04,19.84,11.43,14.56,22.94
2007,22.89,11.67,25.15,18.27,25.73,14.87,24.28,20.22,11.31,14.69,23.24
2008,22.88,11.73,25.23,18.53,25.71,15.09,24.34,20.22,11.42,14.80,23.10
2009,22.80,11.41,25.25,18.30,25.58,14.71,24.21,20.20,11.44,14.78,23.08
2010,23.14,11.78,25.31,18.62,26.14,14.98,24.58,20.43,11.46,14.93,23.36
2011,22.91,11.57,25.34,18.40,25.79,14.93,24.29,20.15,11.35,14.84,23.24
2012,23.07,11.80,25.48,18.71,25.95,15.19,24.45,20.46,11.48,14.92,23.31
2013,22.95,11.58,25.25,18.34,25.93,14.95,24.20,20.13,11.55,14.79,23.39
2014,22.97,11.65,25.44,18.37,25.97,14.98,24.42,20.11,11.71,14.70,23.24
