Variable:,tas
,Belgium,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes","Vlaams Gewest","Region wallonne"
1995,10.75,11.04,11.09,10.75
1996,11.06,11.29,11.34,11.01
1997,10.84,11.11,11.13,10.83
1998,11.16,11.44,11.43,11.18
1999,11.23,11.52,11.52,11.26
2000,11.45,11.71,11.81,11.41
2001,11.26,11.53,11.52,11.25
2002,10.96,11.30,11.27,11.00
2003,11.39,11.66,11.70,11.39
2004,11.26,11.50,11.57,11.21
2005,11.42,11.66,11.72,11.37
2006,11.63,11.92,11.92,11.66
2007,11.36,11.67,11.69,11.37
2008,11.36,11.70,11.66,11.43
2009,11.80,12.16,12.11,11.86
2010,11.53,11.73,11.80,11.51
2011,11.61,11.81,11.91,11.54
2012,11.50,11.74,11.81,11.48
2013,11.48,11.79,11.76,11.52
2014,11.52,11.77,11.80,11.52
