Variable:,tas
,"Burkina Faso","Boucle Du Mouhoun",Cascades,Centre,Centre-est,Centre-nord,Centre-ouest,Centre-sud,Est,Hauts-bassins,Nord,"Plateau Central",Sahel,Sud-ouest
1995,28.79,28.38,27.35,28.65,28.71,29.01,28.46,28.51,28.76,27.50,29.04,28.73,29.42,27.75
1996,28.86,28.39,27.45,28.66,28.84,29.02,28.54,28.56,28.89,27.60,29.01,28.79,29.50,27.86
1997,29.02,28.58,27.71,28.94,29.03,29.20,28.76,28.84,29.01,27.82,29.22,29.03,29.60,28.06
1998,28.91,28.56,27.70,28.81,28.97,29.03,28.71,28.76,28.91,27.83,29.09,28.86,29.40,28.10
1999,29.05,28.65,27.75,28.91,29.04,29.20,28.70,28.74,29.09,27.87,29.23,29.00,29.60,28.12
2000,29.09,28.69,27.69,29.05,29.13,29.25,28.83,28.89,29.15,27.91,29.25,29.11,29.61,28.08
2001,29.54,29.09,28.14,29.44,29.54,29.72,29.25,29.29,29.57,28.34,29.71,29.53,30.13,28.54
2002,29.27,28.86,28.00,29.06,29.24,29.41,28.94,28.99,29.29,28.09,29.44,29.16,29.86,28.33
2003,29.26,28.92,27.94,29.16,29.21,29.38,28.99,28.98,29.23,28.12,29.45,29.21,29.85,28.30
2004,29.54,29.16,28.13,29.46,29.60,29.73,29.26,29.32,29.56,28.34,29.73,29.55,30.07,28.54
2005,29.30,28.82,27.87,29.18,29.39,29.47,28.92,29.09,29.45,28.04,29.38,29.31,29.88,28.24
2006,29.21,28.79,27.74,29.07,29.22,29.41,28.86,28.92,29.25,27.96,29.36,29.16,29.80,28.18
2007,29.28,28.80,27.86,29.10,29.20,29.48,28.87,28.95,29.26,28.01,29.48,29.17,29.99,28.14
2008,29.40,29.03,28.01,29.28,29.27,29.62,29.08,29.08,29.31,28.26,29.78,29.34,29.98,28.32
2009,29.47,29.11,28.01,29.20,29.30,29.65,29.06,29.06,29.33,28.18,29.76,29.28,30.21,28.40
2010,29.73,29.40,28.26,29.57,29.73,29.90,29.46,29.48,29.71,28.52,29.98,29.69,30.25,28.70
2011,29.57,29.11,28.36,29.44,29.61,29.68,29.26,29.34,29.54,28.46,29.76,29.52,30.14,28.68
2012,29.64,29.22,28.25,29.55,29.62,29.81,29.25,29.30,29.59,28.43,29.91,29.63,30.30,28.62
2013,29.43,29.08,28.06,29.31,29.40,29.61,29.13,29.15,29.38,28.23,29.71,29.37,30.00,28.42
2014,29.66,29.27,28.33,29.58,29.63,29.84,29.36,29.39,29.64,28.49,29.93,29.64,30.24,28.61
