Variable:,tas
,Ecuador,Azuay,Bolivar,Canar,Carchi,Chimborazo,Cotopaxi,"El Oro",Esmeraldas,Galapagos,Imbabura,Loja,"Los Rios",Manabi,"Morona Santiago",Napo,Orellana,Pastaza,Sucumbios,Tungurahua,"Zamora Chinchipe","Zona No Delimitada",Guayas,Pichincha,"Santa Elena","Santo Domingo de los Tsachilas"
1995,21.69,20.89,23.98,19.53,18.31,16.01,19.32,22.20,24.03,23.05,20.21,22.00,25.77,24.64,18.64,17.20,24.13,22.95,22.22,16.82,19.15,25.07,24.47,18.79,23.18,24.06
1996,21.78,20.96,24.14,19.60,18.31,16.01,19.38,22.30,24.16,23.44,20.21,22.11,26.00,24.98,18.69,17.20,24.22,23.04,22.29,16.80,19.25,25.29,24.69,18.80,23.45,24.29
1997,21.95,21.17,24.32,19.79,18.52,16.29,19.56,22.52,24.22,23.29,20.40,22.33,26.10,24.90,18.92,17.47,24.42,23.26,22.50,17.10,19.42,25.30,24.76,18.98,23.44,24.29
1998,21.84,21.03,24.12,19.68,18.42,16.16,19.46,22.31,24.13,23.24,20.32,22.14,25.91,24.81,18.83,17.35,24.31,23.16,22.38,16.95,19.36,25.20,24.60,18.91,23.28,24.20
1999,21.72,20.92,24.01,19.55,18.33,16.03,19.33,22.22,23.99,22.94,20.26,22.04,25.81,24.66,18.70,17.23,24.21,23.04,22.26,16.82,19.22,25.09,24.49,18.79,23.18,24.09
2000,21.94,21.14,24.31,19.78,18.46,16.18,19.53,22.52,24.27,23.46,20.36,22.33,26.15,25.13,18.82,17.38,24.43,23.24,22.46,16.96,19.42,25.41,24.89,18.95,23.72,24.40
2001,22.18,21.40,24.52,20.07,18.73,16.53,19.82,22.70,24.49,23.75,20.64,22.51,26.32,25.21,19.16,17.65,24.61,23.44,22.68,17.33,19.66,25.62,25.02,19.24,23.69,24.61
2002,22.14,21.34,24.45,20.04,18.73,16.60,19.87,22.59,24.45,23.27,20.67,22.45,26.23,25.12,19.17,17.66,24.56,23.40,22.62,17.41,19.64,25.54,24.93,19.30,23.65,24.57
2003,22.17,21.41,24.53,20.03,18.76,16.52,19.85,22.75,24.44,23.63,20.67,22.57,26.33,25.17,19.13,17.69,24.59,23.43,22.68,17.33,19.67,25.58,24.99,19.27,23.66,24.59
2004,22.15,21.39,24.48,20.01,18.67,16.42,19.74,22.75,24.55,23.67,20.57,22.57,26.33,25.32,19.06,17.55,24.60,23.37,22.65,17.19,19.62,25.68,25.06,19.16,23.82,24.67
2005,22.30,21.57,24.74,20.22,18.96,16.66,20.00,22.92,24.75,23.71,20.91,22.71,26.56,25.42,19.23,17.79,24.65,23.49,22.75,17.47,19.76,25.84,25.23,19.45,23.89,24.82
2006,22.15,21.39,24.40,19.98,18.71,16.47,19.73,22.77,24.42,23.54,20.60,22.58,26.18,25.14,19.15,17.65,24.61,23.46,22.69,17.26,19.69,25.49,24.94,19.18,23.72,24.48
2007,22.17,21.42,24.45,20.05,18.74,16.53,19.77,22.74,24.43,23.45,20.65,22.56,26.24,25.20,19.16,17.64,24.63,23.45,22.71,17.31,19.72,25.53,25.00,19.21,23.76,24.52
2008,22.36,21.48,24.60,20.17,18.94,16.70,19.96,22.74,24.55,23.50,20.84,22.55,26.37,25.22,19.37,17.90,24.94,23.79,22.98,17.52,19.71,25.65,25.07,19.40,23.75,24.66
2009,22.12,21.35,24.40,19.97,18.64,16.42,19.71,22.69,24.36,23.81,20.52,22.57,26.20,25.16,19.10,17.59,24.60,23.44,22.65,17.21,19.65,25.49,24.97,19.12,23.76,24.49
2010,22.31,21.50,24.66,20.16,18.81,16.55,19.89,22.83,24.59,24.00,20.71,22.63,26.48,25.51,19.23,17.74,24.80,23.59,22.85,17.34,19.72,25.74,25.28,19.31,24.12,24.72
2011,22.31,21.48,24.53,20.11,18.87,16.63,19.89,22.81,24.58,23.72,20.76,22.64,26.32,25.28,19.32,17.81,24.81,23.64,22.86,17.43,19.85,25.63,25.06,19.34,23.83,24.63
2012,22.37,21.55,24.62,20.25,18.86,16.70,19.95,22.83,24.58,24.16,20.77,22.70,26.40,25.35,19.36,17.81,24.90,23.73,22.92,17.46,19.83,25.70,25.17,19.38,23.90,24.69
2013,22.47,21.64,24.76,20.27,19.00,16.71,20.02,22.95,24.62,23.71,20.87,22.78,26.56,25.36,19.40,17.98,25.08,23.82,23.10,17.50,19.95,25.78,25.24,19.43,23.90,24.77
2014,22.27,21.44,24.52,20.07,18.85,16.58,19.87,22.74,24.51,23.40,20.73,22.58,26.32,25.19,19.25,17.79,24.79,23.63,22.85,17.39,19.74,25.64,24.98,19.31,23.66,24.66
