Variable:,tas
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,"Administrative unit not available","Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre
1995,11.79,9.65,13.59,10.88,11.99,11.46,12.68,12.12,11.74,15.30,10.71,11.52,12.07,13.03,12.49,10.82,12.22,11.49,12.89,12.02,13.51,14.08,10.81,26.08,26.39,26.46,26.48,23.46,24.04,26.74,26.69,26.53,26.81
1996,11.83,9.71,13.53,10.72,12.13,11.48,12.79,12.24,11.83,15.61,10.79,11.65,12.19,12.92,12.42,10.96,12.16,11.65,13.03,12.18,13.58,14.07,10.67,26.23,26.45,26.44,26.49,23.49,24.07,26.72,26.67,26.51,26.80
1997,11.86,9.75,13.67,10.84,12.07,11.53,12.81,12.15,11.75,15.56,10.86,11.52,12.09,13.13,12.50,10.94,12.38,11.48,13.03,12.00,13.65,14.21,10.80,26.45,26.75,26.55,26.75,23.65,24.23,26.84,26.79,26.64,26.91
1998,12.13,10.00,13.93,11.10,12.33,11.81,13.01,12.60,12.14,15.48,11.06,11.82,12.56,13.27,12.92,11.23,12.49,11.76,13.39,12.38,13.98,14.31,11.02,26.31,26.56,26.51,26.67,23.72,24.28,26.79,26.74,26.58,26.86
1999,12.27,10.02,14.00,11.33,12.49,12.04,13.04,12.74,12.29,15.72,11.23,12.01,12.58,13.38,13.08,11.37,12.67,11.93,13.40,12.47,14.10,14.40,11.15,26.21,26.39,26.54,26.71,23.66,24.22,26.89,26.84,26.69,26.96
2000,12.32,10.19,14.03,11.21,12.73,11.94,13.14,12.70,12.29,15.66,11.25,12.28,12.67,13.45,12.93,11.42,12.70,12.26,13.49,12.69,14.05,14.46,11.22,26.23,26.45,26.65,26.65,23.65,24.22,26.98,26.93,26.77,27.05
2001,12.10,9.94,13.87,11.04,12.33,11.69,13.05,12.47,12.00,15.57,10.98,11.83,12.37,13.29,12.77,11.14,12.57,11.83,13.32,12.34,13.92,14.35,11.00,26.63,27.02,26.74,26.82,23.70,24.28,27.08,27.04,26.88,27.16
2002,12.16,9.80,14.08,11.20,12.42,11.74,13.11,12.59,12.02,15.63,10.98,11.86,12.49,13.47,12.91,11.03,12.83,11.68,13.43,12.32,14.00,14.45,11.11,26.59,27.03,26.61,26.90,23.91,24.48,26.91,26.86,26.71,26.98
2003,12.38,10.15,14.21,11.44,12.67,12.02,13.28,12.79,12.30,15.84,11.24,12.18,12.63,13.58,13.18,11.42,12.88,12.11,13.60,12.61,14.22,14.61,11.21,26.65,27.09,26.75,26.83,23.75,24.31,27.08,27.04,26.89,27.15
2004,12.29,10.14,13.99,11.29,12.57,11.93,13.08,12.75,12.16,15.71,11.22,12.09,12.62,13.49,13.04,11.26,12.69,11.98,13.45,12.51,14.07,14.61,11.29,26.70,27.01,26.79,26.91,23.84,24.41,27.05,27.00,26.84,27.12
