Variable:,tas
,Guyana,"Barima Waini (region N°1)","Cuyuni/mazaruni (region N°7)","Demerara Mahaica (region N°4)","East Berbice/corentyne (region N°6)","Essequibo Islands/west Demerara (region N°3)","Mahaica Berbice (region N°5)","Pomeroon/supenaam (region N°2","Potaro/siparuni (region N°8)","Upper Demerara/berbice (region N°10)","Upper Takutu/upper Essequibo (region N°9)"
1995,26.29,26.38,23.95,26.44,26.74,26.35,26.87,26.47,25.67,26.42,26.84
1996,26.30,26.40,24.09,26.38,26.79,26.30,26.73,26.35,25.73,26.38,26.99
1997,26.46,26.57,24.21,26.48,27.04,26.40,26.82,26.51,25.81,26.47,27.09
1998,26.47,26.62,24.16,26.61,27.02,26.54,26.95,26.58,25.74,26.58,27.08
1999,26.33,26.58,24.06,26.45,26.71,26.39,26.76,26.58,25.78,26.38,26.94
2000,26.49,26.58,24.19,26.53,26.98,26.46,26.85,26.56,25.92,26.56,27.21
2001,26.80,26.90,24.54,26.85,27.43,26.79,27.15,26.84,26.08,26.81,27.41
2002,26.68,26.65,24.29,26.68,27.35,26.60,27.04,26.63,25.99,26.77,27.35
2003,26.71,27.00,24.55,26.84,27.16,26.77,27.17,26.85,26.06,26.78,27.26
2004,26.92,27.04,24.59,27.00,27.43,26.93,27.34,27.06,26.23,26.97,27.66
2005,26.89,27.00,24.56,26.91,27.49,26.82,27.32,26.93,26.32,26.96,27.52
2006,26.62,26.92,24.45,26.76,26.98,26.69,27.08,26.80,25.97,26.78,27.10
2007,26.73,26.90,24.39,26.81,27.30,26.74,27.13,26.81,26.03,26.77,27.40
2008,26.93,27.09,24.62,26.99,27.49,26.92,27.33,26.99,26.28,27.01,27.58
2009,26.74,26.84,24.54,26.87,27.21,26.80,27.19,26.85,26.15,26.84,27.32
2010,26.74,26.92,24.45,26.87,27.19,26.79,27.26,26.85,26.13,26.82,27.36
2011,26.90,27.03,24.60,27.09,27.44,27.01,27.44,27.01,26.18,26.98,27.59
2012,26.99,27.25,24.77,27.15,27.45,27.09,27.42,27.11,26.34,27.06,27.51
2013,26.84,27.03,24.63,27.03,27.30,26.98,27.28,26.99,26.20,27.02,27.42
2014,26.93,27.07,24.67,26.96,27.46,26.89,27.30,27.00,26.28,26.94,27.69
