Variable:,tas
,"Korea, Republic of",Cheju-do,Chollabuk-do,Chollanam-do,Chungchongbuk-do,Chungchongnam-do,Inchon,Kang-won-do,Kwangju,Kyonggi-do,Kyongsangbuk-do,Kyongsangnam-do,Pusan,Seoul,Taegu,Taejon
1995,11.66,16.79,13.32,14.94,11.58,13.03,12.63,10.60,14.41,11.99,11.93,13.64,14.31,12.12,13.08,11.90
1996,11.81,16.83,13.32,14.85,11.80,13.18,12.80,10.88,14.40,12.23,11.98,13.56,14.19,12.36,13.00,12.09
1997,12.05,16.78,13.57,15.01,12.01,13.43,13.13,11.08,14.64,12.46,12.25,13.82,14.46,12.60,13.28,12.32
1998,11.64,16.52,13.21,14.70,11.65,13.10,12.81,10.70,14.34,12.16,11.80,13.41,14.04,12.31,12.84,11.96
1999,12.08,16.90,13.64,15.07,12.08,13.46,13.06,11.08,14.70,12.46,12.33,13.89,14.50,12.59,13.35,12.39
2000,12.04,16.75,13.50,14.94,12.00,13.31,12.98,11.07,14.51,12.39,12.26,13.80,14.45,12.52,13.27,12.31
2001,12.36,17.05,13.85,15.32,12.30,13.72,13.42,11.43,14.95,12.78,12.54,14.09,14.75,12.92,13.54,12.60
2002,12.11,16.91,13.62,15.09,12.07,13.51,13.13,11.19,14.75,12.52,12.29,13.84,14.46,12.66,13.30,12.37
2003,12.02,16.73,13.46,14.97,11.98,13.37,13.06,11.10,14.59,12.46,12.18,13.75,14.46,12.59,13.19,12.28
2004,12.32,17.17,13.85,15.33,12.32,13.71,13.35,11.38,14.94,12.76,12.52,14.05,14.63,12.89,13.52,12.62
2005,12.11,16.94,13.67,15.14,12.11,13.49,13.05,11.14,14.72,12.46,12.34,13.93,14.52,12.58,13.41,12.42
2006,12.45,17.35,13.91,15.43,12.36,13.67,13.26,11.50,14.95,12.73,12.69,14.28,14.94,12.85,13.76,12.63
2007,12.11,17.00,13.58,15.08,11.97,13.32,12.99,11.11,14.59,12.41,12.33,13.95,14.61,12.53,13.42,12.26
2008,12.05,16.83,13.53,15.01,12.02,13.40,13.05,11.06,14.62,12.45,12.33,13.86,14.53,12.59,13.35,12.31
2009,12.10,16.94,13.60,15.07,12.09,13.47,13.05,11.12,14.67,12.49,12.32,13.87,14.50,12.62,13.35,12.41
2010,12.26,17.16,13.80,15.26,12.27,13.62,13.21,11.31,14.87,12.64,12.46,14.04,14.63,12.77,13.50,12.58
2011,12.16,16.94,13.63,15.09,12.12,13.46,13.05,11.17,14.63,12.48,12.43,14.01,14.71,12.61,13.49,12.42
2012,12.21,17.07,13.83,15.28,12.22,13.69,13.32,11.23,14.95,12.65,12.38,13.98,14.54,12.80,13.42,12.55
2013,12.26,17.15,13.74,15.24,12.24,13.61,13.26,11.32,14.82,12.69,12.46,13.99,14.66,12.82,13.44,12.54
2014,12.16,17.01,13.67,15.13,12.15,13.53,13.14,11.18,14.73,12.54,12.38,13.94,14.57,12.67,13.41,12.47
