Variable:,tas
,Mali,Bamako,Gao,Kayes,Kidal,Koulikoro,Mopti,Segou,Sikasso,Tombouctou
1995,28.91,27.72,30.12,28.79,28.99,28.39,29.31,28.79,27.14,28.83
1996,28.90,27.69,30.11,28.75,28.96,28.32,29.27,28.69,27.17,28.87
1997,29.15,28.01,30.30,29.09,29.19,28.64,29.47,28.91,27.43,29.12
1998,29.01,27.91,30.14,28.88,29.07,28.48,29.39,28.86,27.41,28.96
1999,29.14,28.00,30.26,28.98,29.20,28.58,29.50,28.95,27.51,29.13
2000,29.13,27.99,30.24,28.88,29.19,28.56,29.50,28.96,27.45,29.13
2001,29.55,28.24,30.76,29.36,29.66,28.95,29.92,29.33,27.78,29.51
2002,29.43,28.26,30.56,29.24,29.49,28.91,29.79,29.23,27.65,29.42
2003,29.46,28.20,30.57,29.26,29.58,28.86,29.77,29.22,27.68,29.47
2004,29.64,28.51,30.75,29.70,29.65,29.21,30.03,29.58,27.95,29.56
2005,29.39,28.38,30.60,29.22,29.52,28.83,29.70,29.12,27.68,29.35
2006,29.44,28.17,30.55,29.21,29.60,28.83,29.68,29.18,27.57,29.42
2007,29.53,28.19,30.72,29.34,29.60,28.86,29.87,29.22,27.66,29.54
2008,29.62,28.46,30.75,29.52,29.74,29.08,29.87,29.37,27.88,29.57
2009,29.63,28.22,30.95,29.37,29.73,28.94,30.17,29.35,27.79,29.58
2010,29.82,28.73,30.98,29.71,29.93,29.38,30.26,29.78,28.08,29.70
2011,29.69,28.48,30.92,29.56,29.80,29.11,30.03,29.47,28.05,29.61
2012,29.79,28.51,31.03,29.61,29.85,29.23,30.28,29.63,28.03,29.72
2013,29.72,28.38,30.81,29.45,29.85,29.03,30.03,29.42,27.84,29.78
2014,29.79,28.64,31.00,29.64,29.96,29.26,30.25,29.62,28.11,29.68
