Variable:,tas
,Montserrat,Brodericks,Central,East,North,Plymouth,Salem,South
1995,26.35,26.76,26.76,26.76,26.76,26.76,26.76,26.76
1996,26.36,26.71,26.71,26.71,26.71,26.71,26.71,26.71
1997,26.45,26.84,26.84,26.84,26.84,26.84,26.84,26.84
1998,26.38,26.79,26.79,26.79,26.79,26.79,26.79,26.79
1999,26.37,26.81,26.81,26.81,26.81,26.81,26.81,26.81
2000,26.51,26.93,26.93,26.93,26.93,26.93,26.93,26.93
2001,26.54,27.02,27.02,27.02,27.02,27.02,27.02,27.02
2002,26.47,26.91,26.91,26.91,26.91,26.91,26.91,26.91
2003,26.65,27.01,27.01,27.01,27.01,27.01,27.01,27.01
2004,26.73,27.08,27.08,27.08,27.08,27.08,27.08,27.08
2005,26.68,27.04,27.04,27.04,27.04,27.04,27.04,27.04
2006,26.60,27.03,27.03,27.03,27.03,27.03,27.03,27.03
2007,26.66,27.06,27.06,27.06,27.06,27.06,27.06,27.06
2008,26.72,27.11,27.11,27.11,27.11,27.11,27.11,27.11
2009,26.68,27.07,27.07,27.07,27.07,27.07,27.07,27.07
2010,26.74,27.14,27.14,27.14,27.14,27.14,27.14,27.14
2011,26.73,27.12,27.12,27.12,27.12,27.12,27.12,27.12
2012,26.79,27.23,27.23,27.23,27.23,27.23,27.23,27.23
2013,26.73,27.11,27.11,27.11,27.11,27.11,27.11,27.11
2014,26.88,27.28,27.28,27.28,27.28,27.28,27.28,27.28
