Variable:,tas
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
1995,24.29,24.47,23.93,23.93,23.93,23.93,23.93,23.93,23.93,23.95,23.93
1996,24.33,24.67,23.97,23.97,23.97,23.97,23.97,23.97,23.97,23.99,23.97
1997,24.52,24.80,24.17,24.17,24.17,24.17,24.17,24.17,24.17,24.18,24.17
1998,24.57,24.80,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.21,24.19
1999,24.56,24.87,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.17,24.15
2000,24.58,24.83,24.14,24.14,24.14,24.14,24.14,24.14,24.14,24.16,24.14
2001,24.56,24.86,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.17,24.15
2002,24.67,24.99,24.33,24.33,24.33,24.33,24.33,24.33,24.33,24.34,24.33
2003,24.60,24.99,24.23,24.23,24.23,24.23,24.23,24.23,24.23,24.25,24.23
2004,24.76,25.07,24.36,24.36,24.36,24.36,24.36,24.36,24.36,24.38,24.36
2005,24.65,24.95,24.23,24.23,24.23,24.23,24.23,24.23,24.23,24.25,24.23
2006,24.69,25.03,24.29,24.29,24.29,24.29,24.29,24.29,24.29,24.31,24.29
2007,24.74,24.96,24.38,24.38,24.38,24.38,24.38,24.38,24.38,24.40,24.38
2008,24.73,25.02,24.28,24.28,24.28,24.28,24.28,24.28,24.28,24.30,24.28
2009,24.69,25.00,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.37,24.35
2010,24.83,25.12,24.42,24.42,24.42,24.42,24.42,24.42,24.42,24.44,24.42
2011,24.71,25.02,24.36,24.36,24.36,24.36,24.36,24.36,24.36,24.38,24.36
2012,24.77,25.08,24.43,24.43,24.43,24.43,24.43,24.43,24.43,24.45,24.43
2013,24.91,25.10,24.50,24.50,24.50,24.50,24.50,24.50,24.50,24.52,24.50
2014,24.84,25.09,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.46,24.44
