Variable:,tas
,Russia,"Adygeya Rep.","Aginskiy Buryatskiy A. Okrug","Altay Rep.","Altayskiy Kray","Amurskaya Oblast","Arkhangelskaya Oblast","Astrakhanskaya Oblast","Bashkortostan Rep.","Belgorodskaya Oblast","Bryanskaya Oblast","Buryatiya Rep.","Chechnya Rep.","Chelyabinskaya Oblast","Chitinskaya Oblast","Chukotskiy Okrug","Chuvashiya Rep.","Dagestan Rep.","Evenkiyskiy Okrug","Ingushetiya Rep.","Irkutskaya Oblast","Ivanovskaya Oblast","Kabardino-balkariya Rep.","Kaliningradskaya Oblast","Kalmykiya Rep.","Kaluzhskaya Oblast","Kamchatskaya Oblast","Karatchayevo-cherkesiya Rep.","Karelya Rep.","Kemerovskaya Oblast","Khabarovskiy Kray","Khakasiya Rep.","Khanty-mansyiskiy Okrug","Kirovskaya Oblast","Komi Rep.","Komi-permyatskiy Okrug","Koryakskiy Okrug","Kostromskaya Oblast","Krasnodarskiy Kray","Krasnoyarskiy Kray","Kurganskaya Oblast","Kurskaya Oblast","Administrative unit not available","Leningradskaya Oblast","Lipetskaya Oblast","Magadanskaya Oblast","Mariy-el Rep.","Mordoviya Rep.","Moskovskaya Oblast",Moskva,"Murmanskaya Oblast","Name Unknown","Nenetskiy Okrug","Nizhegorodskaya Oblast","Novgorodskaya Oblast","Novosibirskaya Oblast","Omskaya Oblast","Orenburgskaya Oblast","Orlovskaya Oblast","Penzenskaya Oblast","Permskaya Oblast","Primorskiy Kray","Pskovskaya Oblast","Rostovskaya Oblast","Ryazanskaya Oblast","Sakha Rep.","Sakhalinskaya Oblast","Samarskaya Oblast",Sankt-peterburg,"Saratovskaya Oblast","Severnaya Osetiya-alaniya Rep.","Smolenskaya Oblast","Stavropolskiy Kray","Sverdlovskaya Oblast","Tambovskaya Oblast","Tatarstan Rep.","Taymyrskiy Okrug","Tomskaya Oblast","Tulskaya Oblast","Tverskaya Oblast","Tyumenskaya Oblast","Tyva Rep.","Udmurtiya Rep.","Ulyanovskaya Oblast","Ustordynskiy Buryatskiy Okrug","Vladimirskaya Oblast","Volgogradskaya Oblast","Vologodskaya Oblast","Voronezhskaya Oblast","Yamalo-nenetskiy Okrug","Yaroslavskaya Oblast","Yevreyskaya A. Oblast"
1995,-3.69,11.53,-0.84,-3.16,3.02,-3.29,2.27,11.41,4.99,8.97,8.25,-4.00,7.05,4.13,-3.90,-9.51,6.02,9.10,-7.82,6.10,-4.00,6.13,2.68,8.75,11.37,7.05,-0.70,8.52,3.13,1.96,-4.36,-1.15,-0.63,4.42,-0.05,3.06,-4.48,5.17,12.55,-1.40,3.89,8.29,12.53,5.74,7.57,-9.65,5.76,6.56,6.67,6.91,0.73,11.61,-4.43,6.14,6.18,2.42,2.44,6.72,7.41,6.99,3.10,3.39,6.78,11.16,6.98,-11.67,1.55,6.88,6.25,8.26,5.96,7.12,9.80,2.63,7.70,5.67,-11.38,0.56,6.90,6.06,2.25,-3.71,4.67,6.54,0.40,6.49,9.70,4.30,8.77,-4.76,5.79,2.37
1996,-3.54,11.87,-0.70,-2.49,3.59,-3.16,2.21,11.81,4.87,9.28,8.23,-3.99,6.89,3.96,-3.69,-8.96,5.88,9.00,-7.91,6.11,-4.14,5.72,2.83,8.50,11.74,7.09,-0.81,8.75,3.34,2.26,-4.27,-0.85,-0.32,4.04,-0.04,2.87,-4.37,4.79,13.03,-1.46,3.92,8.46,12.71,5.62,7.73,-9.12,5.52,6.45,6.50,6.77,0.66,12.12,-4.58,5.84,5.93,2.90,2.91,6.58,7.58,6.99,3.08,3.48,6.51,11.64,6.84,-11.41,1.78,7.07,6.10,8.35,6.01,6.93,10.16,2.71,7.71,5.65,-11.16,0.94,6.94,5.89,2.43,-3.44,4.59,6.61,0.41,6.19,9.89,4.15,8.97,-4.39,5.52,2.09
1997,-3.49,11.72,-0.81,-2.74,3.65,-2.99,2.34,12.01,4.50,9.09,8.09,-3.76,6.98,3.92,-3.59,-8.84,5.86,9.12,-7.72,6.07,-3.83,5.87,2.71,8.41,11.97,6.98,-0.38,8.53,3.38,2.27,-4.17,-0.89,-0.47,4.43,-0.12,3.14,-3.90,5.07,12.82,-1.33,4.13,8.35,12.92,5.69,7.65,-8.85,5.61,6.30,6.44,6.71,0.84,12.10,-4.48,5.91,5.95,3.01,2.89,6.29,7.50,6.88,3.11,3.71,6.49,11.50,6.69,-11.39,1.70,6.69,6.15,8.24,5.90,6.84,10.06,2.67,7.70,5.50,-11.32,1.12,6.88,5.83,2.53,-3.60,4.70,6.49,0.70,6.24,9.95,4.24,8.89,-4.70,5.61,2.50
1998,-3.32,11.66,-0.61,-2.75,3.60,-3.10,3.13,11.63,4.76,9.04,8.33,-3.72,6.92,3.87,-3.60,-8.72,6.16,8.91,-7.51,6.10,-3.85,6.24,2.67,8.91,11.60,7.34,-0.34,8.50,4.09,2.16,-4.36,-0.98,-0.13,4.99,0.85,3.73,-4.04,5.64,12.70,-1.39,4.08,8.36,12.59,6.18,7.59,-9.03,5.98,6.64,6.92,7.23,1.50,11.58,-3.79,6.25,6.37,3.01,3.03,6.32,7.53,7.08,3.65,3.34,7.02,11.16,6.96,-11.19,1.47,7.10,6.66,8.50,5.98,7.22,9.80,2.94,7.77,5.85,-11.11,1.08,7.10,6.29,2.67,-3.58,5.10,6.74,0.54,6.60,9.82,4.85,8.79,-4.26,6.08,2.27
1999,-3.39,12.00,-1.05,-2.77,3.59,-2.96,2.24,11.78,4.33,8.91,7.94,-3.84,7.14,3.55,-3.74,-8.63,5.63,9.14,-7.81,6.35,-3.92,5.62,3.05,8.29,11.86,6.70,-0.22,8.91,3.22,2.36,-3.97,-0.88,-0.81,4.07,-0.24,2.89,-3.90,4.69,13.04,-1.55,3.69,8.04,12.77,5.59,7.25,-8.81,5.29,6.17,6.27,6.46,0.87,12.14,-4.37,5.71,5.88,2.87,2.56,5.99,7.13,6.74,2.90,3.68,6.51,11.56,6.51,-10.76,1.76,6.55,6.13,8.02,6.26,6.67,10.21,2.41,7.36,5.36,-10.82,0.95,6.56,5.74,2.17,-3.57,4.42,6.28,0.46,6.06,9.79,4.07,8.67,-4.59,5.47,2.70
2000,-3.16,11.68,-0.34,-2.32,4.03,-2.68,3.04,11.68,4.94,9.23,8.67,-3.40,7.12,4.01,-3.17,-8.69,6.03,9.16,-7.57,6.31,-3.64,6.36,2.88,9.06,11.67,7.50,-0.01,8.65,4.34,2.80,-3.78,-0.40,-0.14,4.47,0.48,3.31,-4.00,5.39,12.73,-1.13,3.98,8.80,12.81,6.90,8.02,-9.10,5.69,6.71,7.08,7.34,1.46,11.72,-3.80,6.22,6.97,3.19,3.02,6.55,8.02,7.21,3.37,3.91,7.43,11.25,7.32,-10.99,2.20,7.04,7.47,8.41,6.18,7.37,9.99,2.94,8.04,5.81,-10.96,1.29,7.49,6.57,2.54,-3.17,4.82,6.75,0.90,6.79,9.83,4.97,8.94,-3.96,6.33,2.69
2001,-3.07,11.91,0.20,-2.11,4.03,-2.47,2.99,11.91,5.49,9.59,8.72,-3.18,7.24,4.55,-2.96,-8.68,6.68,9.27,-7.41,6.47,-3.37,6.53,3.05,9.06,11.83,7.51,-0.16,8.84,4.01,3.00,-3.81,-0.15,-0.20,5.05,0.56,3.70,-3.85,5.66,13.01,-0.82,4.65,8.86,13.04,6.35,8.12,-9.23,6.29,7.14,7.06,7.26,1.75,12.09,-3.76,6.54,6.72,3.32,3.19,7.15,7.92,7.64,3.73,4.25,7.41,11.58,7.36,-11.11,1.99,7.81,6.81,8.85,6.37,7.54,10.30,3.18,8.17,6.53,-10.83,1.46,7.35,6.54,2.85,-2.80,5.39,7.43,1.23,6.87,10.10,4.98,9.18,-4.03,6.31,3.27
2002,-2.86,11.86,-0.02,-2.06,4.45,-2.60,3.35,12.30,5.50,9.50,8.52,-3.31,7.21,4.48,-3.00,-8.47,6.97,9.30,-6.96,6.34,-3.38,6.70,2.95,8.73,12.17,7.41,-0.29,8.79,3.99,3.00,-3.83,-0.23,0.63,5.17,1.17,3.94,-3.86,5.78,12.93,-0.62,4.67,8.86,13.15,6.36,8.30,-9.02,6.55,7.52,7.12,7.34,1.61,12.21,-3.21,6.82,6.51,3.62,3.45,7.21,7.98,8.04,3.94,4.35,7.06,11.65,7.57,-10.91,2.22,7.96,6.81,9.30,6.20,7.27,10.32,3.44,8.51,6.63,-10.76,1.77,7.50,6.41,3.13,-2.86,5.43,7.71,0.99,7.05,10.55,5.12,9.44,-3.31,6.40,3.09
2003,-2.89,11.97,-0.51,-2.34,3.80,-2.55,2.82,12.07,4.76,9.53,9.10,-3.46,7.36,4.06,-3.24,-7.87,6.02,9.30,-7.10,6.64,-3.48,6.24,3.27,9.15,12.04,7.83,-0.11,8.98,3.81,2.58,-3.85,-0.50,-0.05,4.45,0.54,3.17,-3.43,5.21,13.01,-0.81,4.35,9.00,13.03,6.44,7.99,-8.51,5.70,6.62,7.16,7.46,1.65,12.21,-2.88,6.10,6.76,3.19,3.16,6.50,8.11,7.11,3.20,4.02,7.57,11.59,7.18,-10.65,1.93,7.11,7.01,8.48,6.51,7.84,10.47,2.78,7.96,5.67,-9.93,1.28,7.49,6.67,2.76,-3.02,4.70,6.67,0.99,6.73,10.10,4.69,9.13,-3.53,6.18,2.86
2004,-2.97,12.30,-0.08,-2.33,3.93,-2.71,2.91,11.93,5.35,9.30,8.64,-3.31,7.55,4.52,-3.08,-8.50,6.44,9.49,-7.45,6.80,-3.45,6.52,3.52,8.60,12.00,7.63,-0.09,9.42,3.75,2.68,-3.96,-0.52,0.16,5.17,1.01,4.17,-3.83,5.66,13.23,-0.94,4.57,8.65,13.04,6.30,8.01,-8.73,6.22,6.94,7.20,7.49,1.16,12.22,-2.88,6.52,6.54,3.13,2.96,6.98,7.84,7.41,4.12,3.93,7.05,11.59,7.53,-10.89,1.79,7.49,6.85,8.63,6.68,7.42,10.70,3.49,8.06,6.26,-10.50,1.39,7.55,6.41,2.74,-3.05,5.47,7.01,1.10,6.94,10.11,4.80,9.01,-3.44,6.24,2.65
