Variable:,tas
,"El Salvador",Ahuachapan,Cabanas,Chalatenango,Cuscatlan,"La Libertad","La Paz","La Union",Morazan,"San Miguel","San Salvador","San Vicente","Santa Ana",Sonsonate,Usulutan
1995,24.70,27.48,27.09,24.67,27.24,27.63,27.38,27.60,27.24,27.17,27.49,27.17,25.64,27.73,27.17
1996,24.73,27.47,27.16,24.74,27.27,27.62,27.42,27.55,27.29,27.24,27.49,27.24,25.69,27.72,27.24
1997,24.96,27.68,27.36,24.92,27.47,27.84,27.63,27.72,27.48,27.44,27.70,27.44,25.87,27.94,27.44
1998,24.90,27.67,27.33,24.86,27.46,27.83,27.61,27.78,27.47,27.41,27.70,27.41,25.82,27.94,27.41
1999,24.79,27.49,27.15,24.74,27.27,27.64,27.42,27.67,27.30,27.23,27.50,27.23,25.68,27.74,27.23
2000,25.04,27.76,27.45,24.98,27.55,27.91,27.71,27.89,27.59,27.53,27.77,27.53,25.91,28.01,27.53
2001,25.17,27.79,27.46,25.12,27.57,27.92,27.72,28.00,27.61,27.54,27.79,27.54,26.04,28.02,27.54
2002,25.07,27.84,27.52,25.05,27.63,28.00,27.79,27.86,27.64,27.60,27.86,27.60,25.99,28.10,27.60
2003,25.33,27.89,27.60,25.30,27.70,28.03,27.85,27.98,27.73,27.68,27.91,27.68,26.17,28.13,27.68
2004,25.25,27.85,27.65,25.24,27.69,27.99,27.87,28.16,27.80,27.73,27.87,27.73,26.15,28.09,27.73
2005,25.18,27.97,27.64,25.18,27.75,28.11,27.90,28.03,27.77,27.72,27.97,27.72,26.13,28.21,27.72
2006,25.11,27.65,27.47,25.08,27.49,27.78,27.67,27.95,27.61,27.55,27.65,27.55,25.96,27.87,27.55
2007,25.05,27.76,27.52,25.02,27.57,27.90,27.75,27.89,27.65,27.60,27.77,27.60,25.95,28.00,27.60
2008,25.24,27.88,27.55,25.22,27.67,28.01,27.81,28.03,27.69,27.63,27.88,27.63,26.14,28.11,27.63
2009,25.20,27.80,27.52,25.12,27.60,27.94,27.77,27.98,27.66,27.60,27.81,27.60,26.02,28.04,27.60
2010,25.18,27.84,27.56,25.17,27.65,27.98,27.81,27.97,27.69,27.64,27.85,27.64,26.09,28.08,27.64
2011,25.36,27.93,27.70,25.38,27.76,28.07,27.92,28.12,27.83,27.78,27.94,27.78,26.27,28.16,27.78
2012,25.42,28.10,27.70,25.41,27.86,28.24,27.99,28.06,27.82,27.78,28.11,27.78,26.33,28.34,27.78
2013,25.38,28.07,27.76,25.37,27.87,28.22,28.02,28.17,27.89,27.84,28.09,27.84,26.31,28.32,27.84
2014,25.41,27.99,27.76,25.32,27.82,28.15,27.99,28.15,27.89,27.84,28.02,27.84,26.22,28.25,27.84
