Variable:,tas
,Turkmenistan,Chardzhou,"Administrative unit not available",Mary,Tashauz,Balkan,Ahal
1995,16.42,17.10,17.17,17.30,15.22,16.68,15.87
1996,16.41,17.09,17.27,17.18,15.21,16.67,15.79
1997,16.69,17.31,17.45,17.38,15.51,17.00,16.22
1998,16.70,17.56,17.16,17.58,15.53,16.75,16.19
1999,16.66,17.45,17.28,17.50,15.52,16.82,15.98
2000,16.73,17.48,17.33,17.73,15.52,16.86,16.21
2001,16.94,17.59,17.70,17.75,15.77,17.22,16.42
2002,17.09,17.79,17.65,17.96,16.06,17.20,16.52
2003,16.81,17.49,17.57,17.64,15.69,16.96,16.16
2004,16.75,17.42,17.52,17.57,15.63,16.93,16.12
2005,16.88,17.64,17.47,17.73,15.75,17.02,16.18
2006,17.14,17.87,17.69,17.98,16.09,17.26,16.57
2007,17.34,18.11,17.79,18.24,16.36,17.38,16.75
2008,17.15,17.72,17.95,17.82,16.02,17.43,16.46
2009,17.18,17.86,17.86,17.97,16.08,17.36,16.60
2010,17.18,17.90,17.85,18.06,15.95,17.38,16.59
2011,17.05,17.92,17.61,18.13,15.74,17.09,16.56
2012,17.27,17.98,18.01,18.15,16.11,17.41,16.69
2013,17.53,18.20,18.00,18.27,16.47,17.72,17.06
2014,17.39,17.97,18.11,18.09,16.31,17.69,16.90
